text,label_sentiment
" כבוד הנשיא הבא עלינו לטובה . שמח לפגישתך העתידית עם אבו מאזן , בקש שיסביר איך זה מתישב עם הסדר כל שהוא : הרשות הפלסטינית משלמת מדי חודש משכורות למחבלים הכלואים בישראל . מדי חודש . לא סתם משלמים , משלמים טוב : רצחת יותר - > ישבת יותר - > קיבלת יותר כסף ** מחבל המרצה חמש עד עשר שנים משתכר 4,000 ש""ח בחודש . מחבל שמרצה 10-15 שנים , משתכר 6,000 ש""ח בחודש . מחבל שמרצה 25-30 שנים , משתכר 10,000 ש""ח בחודש . והמחבלים הכבדים ביותר , הרוצחים האכזריים ביותר , השפוטים ליותר מ-30 שנה - מקבלים 12,000 ש""ח בחודש . ( ברגותי למשל ) ** בנוסף לכך , מקבל כל אסיר פלסטיני הכלוא בישראל 400 שקלים להוצאות פרטיות פעמיים בשנה . יש גם תוספת למי שנשוי ותוספת מיוחדת לילדים . ** במונחי פלסטיניים מדובר במשכורת עתק . ** כ-4000 אסירים משוחררים ממשיכים לקבל משכורות אחרי שחרורם . ל""עבודה מועדפת  "" יש גם פנסיה . ** כך גם זיאד עווד , רוצח ברוך מזרחי ז""""ל ששוחרר בעסקת שליט , קיבל משכורת מהרשות הפלסטינית במאסר הראשון , שוחרר וקיבל משכורת של מחבל משוחרר , ועכשיו שוב "" "" יועלו התנאים "" "" שלו בעבודה המועדפת של אבו מאזן : הרי הוא רצח יהודי וחזר לכלא . מדהים . """,1,positive
לפי הזמן שפרסמת את הפוסט . הכלה הטריה והמסכנה קמה בבוקר וקיבלה וואחד עידוד נשיאותי . אולי עוד היה לה הרהור תשובה . אך גושפנקה כזו לילדה מסכנה חסרת עמוד שדרה .. ייתכן שאתה הטת את הכף . כבוד הנשיאעעעע על כל פנים עוד יקריאו לך את ההודעות האלה כשיגיע יומך ... בתקווה שתספיק להשיג תשובה עד אז . איש מסכן שכמוך,1,positive
" כבוד הנשיא , כל הכבוד , אני תומך בכל מילה שלך . ",0,negative
ישר כוח כבוד הנשיא .,0,negative
" נשיאנו היקר . גם בתפקיד כנשיא , חייבים לגלות אומץ להגיד את מה שהעם חושב . לעודד ולא להוקיע את בנות ישראל , שמתחתנות עם מוסלמים ערבים , זה קו אדום לעם היהודי ששמר על יהדותו במשך אלפי שנים . התופעה של ערבים שרוצים לפגוע בעם היהודי , מצא שיטה להשפיל אותנו בנסיון שלצערנו גם מצליח לפעמים , להוליך שולל בנות יהודיות . לא צריך להתבייש להגיד באמת את מה שהשמאל לא אוהב לשמוע . צריך לדעתי להיות נחרץ ולהגיד בריש גלי , שהעם היהודי חייב לשמור על עצמו מתופעות כאלה . ",1,positive
" יהי זכרו ברוך , כמה עצוב ",0,negative
דייי לשתיקה דייייי !!!,1,positive
בהצלחה !!!,0,negative
נשיא ללא נסיעות,0,negative
אדוני הנשיא מקווה שתשקול לחון את מר קצב אני בטוח ומאמין שלא עשה כדברים האלה גם אם בית משפט קבע שאשם גם שופט יכל לטעות המון אנשים ישבו ויושבים ללא עוול ופשע,0,negative
" כל כך שמחה שנעשתה הבחירה הנכונה , רובי ריבלין אתה האדם הכי מתאים לתפקיד נשיא המדינה של מדינת עשראל הצניעות הטוב והרגישות ניכרים על פנייך באופן ברור , בהצלחה רבה !!!! ",0,negative
" תודה כבודו , זהו חלום של כולנו . תודה לך שהבעת אותו בשמנו ותודה לבתי המקסימה שהביאה כאן את דבריך . ",0,negative
מאחורי כל גבר מצליח יש אישה אוהבת ותומכת !,0,negative
" אתה כבר לא הנשיא שלי , אתה מעודד התבוללות אז אין בך יחודיות כנשיא העם היהודי , שבת שלום ",1,positive
" יישר כח ! מוסיף כבוד למוסד הנשיאות ולכבודה המתכרסם של מדינת ישראל , באמירה ברורה , חזקה וחד משמעית כנגד הגזענות . לא רק ז'בוטינסקי קידם אמת מוסרית זו , אלא כך אנו קוראים גם בספר בראשית :  "" זֶה סֵפֶר תּוֹלְדֹת אָדָם "" "" - בְּיוֹם בְּרֹא אֱלֹהִים אָדָם , בִּדְמוּת אֱלֹהִים עָשָׂה אֹתוֹ , ב זָכָר וּנְקֵבָה בְּרָאָם ; וַיְבָרֶךְ אֹתָם , וַיִּקְרָא אֶת-שְׁמָם אָדָם בְּיוֹם הִבָּרְאָם "" "" . """,0,negative
כבר יש לו דרכון של מדינה זרה כל שהיא ???,1,positive
עוד לא שבוע בתפקיד וכבר שכחת מאיפה באת ?,1,positive
האיש הנכון במק לעם ישראל טוב לירושלים סוף סוף ום הנכון טוב,0,negative
" יש לך חיוך שכובש את כל מדינת ישראל , כבוד הנשיא . ",0,negative
נשיא מדינת ישראל כלבבי . יישר כוח !!,0,negative
" מילים כדורבנות ! גאים בך , רובי ! נשיא מדינת ישראל ! ",0,negative
נשיר אלק ?? קודם תפשפש במעשייך !!!! נראה עד מתי תישאר נשיא .,1,positive
אדוני הנשיא גם אני מאחל לך שנה טובה והכי שקטה שיש . שנה שלא תצייץ בה כל שטות .,1,positive
" עכשיו שיודעים מי החוטפים ללכת לבתי המשפחות ופשוט להכניס את כולם אבל כולם לכלא בלי לתת להם שום פרבילגיה ולפרסם כי הם ישוחררו כשהבנים הצדיקים שלנו ישוחררו כי  "" ברומא תתנהג כרומאי "" "" בואו נראה את הנבלות אחרי שידעו שההורים האחים הסבא והסבתא בכלא בתנאים קשים מה הם יעשו זאת הדרך !!!!! """,0,negative
רובי הייתי רוצה לראות ערביה נישאת ליהודי,1,positive
תמונה יפיפיה-שפו,0,negative
חייבים לעשות סוג של חרם כשכתבים שונאי ישראל עולים לשידור צריכים להעביר לערוץ אחר ואז תראו מה יעשה כוחו של הרייטינג ( בהקשר לדבריה של רינה מצליח ),2,
אופיר בדיוק על שכמותך הנשיא כתב את מילותיו,0,negative
שבת שלום אדוני השיא : ),0,negative
כל תקציב הביטחון הזה והטכנולוגיה ואין ארתעה נגד המחבלים מפציצים לא יודעה מה ? חשביםמומתחשבים מה יגיד העולם צריך לפעול מהר וחזק שגם העולם יחשוב פעמים שעם היהודים והישרלים לא כידי להעתעסק ביבי וליברמן ובנט תתחילו לפעול כמו מנהגים עמיצים ולא להפציץ מחסנים ריקים !!,1,positive
צודק 100 אחוז כל אחד והבחירה שלו,0,negative
" בהצלחה , ישר כח ",0,negative
שבת שלום !,0,negative
ירושלמי . ״ אסלי ״ . אתה נשיא שלנו ואין מצב שלא תיבחר . אנחנו מאמינים בני מאמינים בהצלחה איש יקר .,0,negative
G. bless you Mr. Reuven Rubi Rivlin - ראובן רובי ריבלין : ),0,negative
מה קרה אדון הנשיא הפכת את העור שלך,1,positive
בהצלחה לעם ישראל ... ולך,0,negative
Bengi Rivlin משפחה 😏,0,negative
מקסים,0,negative
יחי נשיאנו החדש לכבוד ותפארת מדינת ישראל,0,negative
למה זה בלבול שכל ?,1,positive
" הכנסת בחרה בבחירת העם . תושבי דימונה מאחלים לך הצלחה רבה , בריאות וכוחות , תישאר רגיש ומרגש , עם חוש הומור וערכי חברות ונאמנות ! ",0,negative
" לנשיא שלנו החדש , תודה לך על דבריך המרגשים , עכשיו החשוב ביותר הוא להרגיע את השיח - הפוגעני שנפוץ בינינו ולדבר על הרגעת המלים הקשות והפוגעניות שעפות לכל עבר ",0,negative
איש ממשפחה שבנתה שכונות מיחוץ לחומה,0,negative
כבוד הנשיא אני חולקת עליך אני מאחלת להם ימים של סבל שלעולם לא יהיה להם יום אחד מאושר בחיים שלהם וב ״ ה גם לא יהיו להם ילדים שלא ידעו נחת בחיים שלהם !!!!!! חיילים שלנו נלחמים ונהרגים למען המדינה וזבל הזאת מתחתנת עם ערבי אני בהחלט מאחלת לה צער וסבל כל חייה !!!!! 🙏🙏,1,positive
בריאות כבוד הנשיא . לך לנכד למשפחתך ולכל עם ישראל,0,negative
בהצלחה !!,0,negative
רק לפי הפוסט הזה רואים כמה אתה ראוי לתואר כבוד נשיא המדינה ראובן ( רובי ) ריבלין ..,0,negative
שמור על פיך המלוכלך !!!! וכבד את הנשיא ואם לא את הנשיא כבד אדם מבוגר מגילך . אני בטוחה שלא ככה חונכת מהבית .,1,positive
" מה אתה אומר ? באמת ? אני חתמתי על כרטיס אדי כבר לפני 20 שנה , אז טוב שנזכרת רק עכשיו ! ",1,positive
יהי זכרו ברוך,0,negative
אז אתה בא ? https://www.facebook.com/events/1539984016223725/,2,
כבוד הנשיא מזל טוב עד 120 גאה ומעריצה שלך הרבה שנים תבורך שיהיה לך בהצלחה בתפקידך !!!,0,negative
לא רק הנכד אוהב אותך גם עם ירשאל.מאחלים הצלחה בתפקיד לאריכות ימים בבריאות טובה .,0,negative
" נשיא מטומטם וצבוע , הלוואי על הנכדות שלך חתן ערבי יא נעל ",1,positive
" גאי אתה טיפש מטופש ילד כאפות שלא חונך על ברכי היהדות , בטח אבא שלך מתחנגל ממרץ..או אמא שלך מוסלמית או הפילגש של אבא של מוסלמית . ",2,
אוהבים אותך הנשיא ריבלין,0,negative
אדוני הנשיא הערב תישמע קינה על מדינת ישראל שאים לא תתחילו לטפל במיעוט הזה כמו שצריך היא תחרב אים תמשיכו להקשיב לעולם ולא לעם היהודי אנחנו לא נהיה פה עוד להרבה זמן די לרחמנות די לכסלות די לטיפשות די לחלומות ולפנטזיה שלכם על שלום לא יהיה שלום עים רוצחים או אנחנו או הם,1,positive
" כל הכבוד לך רובי ! איש צנוע , נעים הליכות שיודע לרגש ולהתרגש , איש ארץ ישראל השלמה ! אין איש ראוי ממך , אין איש מתאים ממך ! מי ייתן וייתן לך האל בריאות והצלחה למלא את התפקיד ! יחי נשיא מדינת ישראל ! יחי ! יחי ! יחי ! ",0,negative
כל הכבוד לנשיא היקר הזה . זמן כה קצר בכהונה וכל התבטאויותיו עד היום עושות כבוד לתפקיד .,0,negative
אמן,0,negative
" בהצלחה ! שמחה רבה שמחתי היום לשמוע שאתה הוא הנשיא הבא של מדינת ישראל . יְבָרֶכְךָ ה' וְיִשְׁמֶרְךָ . יָאֵר ה' פָּנָיו אֵלֶיךָ וִיחֻנֵּךָּ . יִשָּׂא ה' פָּנָיו אֵלֶיךָ וְיַשֵּׂם לְךָ שָׁלוֹם . וְשָׂמוּ אֶת שְׁמִי עַל בְּנֵי יִשְׂרָאֵל , וַאֲנִי אֲבָרֲכֵם . ",0,negative
אני גם ימני מאוד וחושב שצריך לכבד החלטות של כל אדם .. אבל זה טוב שיש את המחאה וההפגנה הזאת שהילדות או הבחורות הצעירות היהודיות יבינו את הבעיה פה .. אם יצילו יהודייה אחת זה שווה הכל !,1,positive
הנשיא האידיאלי לישראל יהודית דמוקריטית .,0,negative
כואב ומדכא ליבי עם גילה,0,negative
" שבת שלום לך , רק אתה ראוי ותהיה נשיאנו ",0,negative
ברכות והמון הצלחה בבית הנשיא . אוהבים אותך רובי,0,negative
כואבים ומתאבלים עם המשפחות על רצח הבנים שנלקחו בדמי ימיהם .,0,negative
" הלב נשבר , איזה מתוק ומקסים !! ת.נ.צ.ב.ה ",0,negative
כל הכבוד ! אבל למה עד עכשיו לא היה לך ??,0,negative
בהצלחה חבר יקר תודה על נאמנותך למדינה ואהבת הארץ,0,negative
" הנשיא הבית""רי הראשון תל חי ",0,negative
כבוד הנשיא ראובן ריבלין תודה לאל שיש לנו נשיא כמוך .,0,negative
רגע .. אם היינו מתבוללים כבר לפני 2000 שנה כשהרומאים הגלו את חלקינו ... זה לא היה מונע את כל הבלאגן הזה ?,1,positive
יחי נשיא מדינת ישראל .,0,negative
צודק 100 אחוז כל אחד והבחירה שלו,0,negative
יום עצוב למוסד הנשיאות ולמדינה .,1,positive
" אז המערכון ב""פרלמנט  "" שהשתתפת בו עם אסי כהן אשכרה נכון : ) אתה כל הזמן מוציא תמונות של הנכדים כבוד הנשיא : ) """,0,negative
" אם לי הייתה זכות בחירה , ללא ספק הייתי מצביע עבורך !! בהצלחה ! 👍",0,negative
הלב נשבר למראה הילד המתוק יהיי זכרו ברוך אמן,0,negative
אני אלג'ירי וזו הפעם הראשונה שאני שומע מישהו בפלסטין הכבושה לומר את המילים סבירות ואינו קורא לגזעני ואומרים ליהודים שאומרים מוות לערבים אומרים להם חוסר שביעות רצון ומוות לציונים ואינטואיציות ישראליות חופש לפלסטין,1,positive
בכול השרות יהודים נלחמו כנגד התבוללות לא יכול להיות מצב שנשיא מדינת ישראל יעודד התבוללות לכן איבדתה את הקרקע המוסרית להיות נשיא מדינת היהודים,1,positive
בשעה טובה מגיע לך מאחל לך הצלחה כבוד הנשיא הנבחר,0,negative
תתפטר כבר ליצן,0,negative
" האישה התאסלמה , אז היא ערבייה . למה זה צריך להפריע למישהו !!!!!???? ",1,positive
שבת שלום לנשיא ה-10 ! מדינת ישראל זכתה !!,0,negative
אפילו נשיא מדינת ישראל מתייחס לחתונה הזאת ??? האם העולם השתגע ??? החתונה הזאת לא מעניינת בעליל ! כל יום ילדות יהודיות נופלות ברשתם של מוסלמים ערבים בכל רחבי הארץ ! הסיקור מיותר וההתייחסות מלבה את העניין וגורמת להתססה ! שתעשה מה שהיא רוצה ! מטומטמת היא בהחלט מטומטמת !!!,1,positive
איש יקר רק נכנסת לתפקידך ויום למחרת בבוקר היית בנחום אבלי במשפחה האבלה של חייל שנהרג,0,negative
כבוד הנשיא אתה צודק בהחלט נכון מאוד !!!!,0,negative
אדוני הנשיא כשמדובר באחת מהסכנות הקיומיות של העם היהודי לא פחות מהחמאס בעזה . עלינו לצאת נגד זה ! וכנשיא מדינת ישראל הייתי מצפה ממך לגנות את הזה או לפחות לא לעודד . הרי היה דיון בוועדת הכנסת בנושא ההתבוללות בנישואים למוסלמים ואיך כל המקרים האלו נגמרו בהתעללות בנשים ובילדיהם . אין לי ספק שזה יהיה גם סוף המקרה הזה .,1,positive
שמעון יפרח העלאתי בשבילך את דבריו של שמעון פרס . ראה פוסט . לפני שכותבים פוסט רצוי לבדוק אותו הייטב בנוסח בשגיאות ובנשא.אין על שמעון פרס הנשיא לדוגמא,2,
הלוואי ואתה הנשיא מר ריבלין היקר,0,negative
שבוע טוב לנשיא מדינת ישראל הנכנס והמכיר את עמו וארצו ורגשות העם מעל לכל ספק,0,negative
אכן מרגש . הלוואי על כל הזוגות,0,negative
זוג מדהים !!!,0,negative
" כבוד הנשיא גם לי יש המון חלומות , עד שהשעון המעורר הורס לי אותם 😄",1,positive
כבוד הנשיא לא הייתה צריך להגיד כלום בקשר לאיתבוללות ולברך . כי אתה משאיר דרך פריצה לאיתבוללות . שאלוהים היא שמור,1,positive
כל הכבוד ישר כוח והלואי שכולם יחתמו על כרטיס אדי ואז אנשים רבים יוכלו לחיות עוד הרבה זמן ובנהם בעלי שממתין להשתלת לב ואנו מתפללים שיצליחו להציל אותו לפני שיהיה מאוחר,0,negative
שבת שלום אדוני הנשיא מי יתן והנערים יחזרו בשלום,0,negative
תפילות,0,negative
" מצדיע לנשיא המדינה על דבריו הברורים והחדים . תומך בך תמיכה מלאה . ולאלה שחושבים שכבוד האדם וזכויות יסוד הם עניין לשמאלנים , תחשבו שוב . האם אתם ימניים או פשיסטים גזעניים . ",0,negative
כמה עצוב ... מלאך קטן . ליבי עם המשפחה,0,negative
רובי ריבלין אתה תיבחר מחר,0,negative
" רובי לאחר דבריך קשה לי לכנות אותך נשיא מדינת ישראל , אהבתי ותמכתי בך אך דבריך בקשר לזוג מיפו פגעו בך קשות השפלת את עצמך גם אם חשבת כך לא היתה צריך להתבטא פגעת לא רק בעצמך גם במוסד הנשיאות שאמור לייצג את מדינת היהודים . ",1,positive
" תמשיך להיות סבא מגניב , את זה לא ישכחו לך לעולם ! ",0,negative
אמן ..,0,negative
ילד חמוד יפה לא מגיע לו ככה כל הכבוד ראובן שבאתה לקרבו וליוות אותו בדרכו האחרונה יפה מצדך ( y ),0,negative
" ב""ה - שבוע טוב ומזל טוב אליהו הנביא זכור לטוב לכבוד ראש הממשלה , ובכן כבודו כתב השבוע  "" המדיניות שלנו פשוטה , הקם להורגך השכם להורגו ... "" "" . יפה , ציטות כמעט מדויק מהמקורות . המקור הוא "" "" הבא להרגך השכם להרגו "" "" מהגמרא ( ברכות נח א , סב ב ; יומא פה ב ) . אין ספק בנימין , שהליכוד בתיהם , ישלם מחיר כבד מאוד על אוזלת היד בביטחון , שחרור מחבלים , כניעה בהר הבית , קסאמים וטילים יום יום ( גם הלילה !!! ) , מתן ומתן , ועכשיו חטיפות ילדים ! על כן אנו מבקשים ממך לפעול כראש ממשלת ישראל , ( וזה לא אומר להופיע בתשקורת ולהודיע לעם על החטיפה , ובעצם להודות על הכישלון של ממשלתיך המתרפסת לאויב יום יום ) , זאת אומרת : - לפתר לאלתר את הכישלון לביטחון על הפנים , הצר אהרונוביץ , אשר מראה את כישלונותיו יום יום בהר הבית , ויורק על עם ישראל שמשלם לו , ומגרש יהודים מהר הבית יום יום , הפוך ממה שהוא אמור לעשות , לגרש מחבלים ופורעים ! ועכשיו גם ילדים נחטפים לאור יום ! עם ישראל לא מוכן לשלם כישלון מתרפס כזה לא לשנייה אחת יותר ! ולא היינו פוסלים צעדים פלילים נגדו כלל וכלל , מתוקף אחריותו ! תחליט להיות מנהיג בנימין , אחרת הליכוד בתיהם ישלם מחיר כבד , וכבר משלם ! - לכלוא כל מנהיג ערבי בחברון וכמובן כל חשוד מיד לחקירות , ללא ביקורים כמובן , ואם אפשר בלי בשר ויין . עד לשחרור הילדים לפחות . - לתקוף ללא הרף בעזה ולחסל יום יום את כל מנהיגי החמאס ! חיסול נקודתי יעיל ביותר , אבל יום יום ! - לשחרר את שטחי C תחילה מהכיבוש הערבי , ולמנוע כניסת ערבים להר הבית עד לשחרור הילדים . - לבטל מיד את כל הסכמי אוסלו המבוטלים מאילהם , אשר פושעי אוסלו יתנו את הדין עליהם . וכבר מתחילים לשלם ... - הפסקת חשמל , מים ודלק לרשעות בעזה , רמאלה וכל השטחים הכבושים על ידי הערבים המחבלים הפולשים ב 48 . - לתת אישורים חופשי לבנייה ביו""""ש , ולהגביר את הקצב ! ואם כך תעשה ב""""ה תצליח ! כי זו בדיוק מדיניות בורא עולם , והפעם בנימין , העם לא יסלח לך על התרפסות נוספת . """,1,positive
בהצלחה רובי ריבלין אתה בין המועמדים הנבחרים .,0,negative
יקירנו מכובדנו אתה מוסיף תקווה לעם אתה גאוותנו,0,negative
" מזעזע !!!!!!! נשיא המדינה נותן גושפנקא לנשואי התבוללות ומעודד על ידי כך נשואים כאלו ... ריבלין הפתעתה אותנו .. !!!! ?? נשיא מדינת היהודים ??? לא פרס .. אלא ריבלין , זה מזעזע !!!!!!!!! בשם משפחות יהודיות בכלל ובשם משפחות שכולות בפרט ... אני מביע שאת נפש מאמירותיו של נשיא מדינת היהודים ( יש טירור גלוי שזה האוייבים ... ויש טירור שקט שזה על ידי ההתבוללות ) . ",1,positive
" זה בטח לא יהיה  "" כדת משה וישראל "" "" """,1,positive
כבוד הנשיא מתקרבת שנת תשעה אולי נכריז עליה כ תהה שנת ערבות הדדית,0,negative
אל תתעסק בנושא שאיננו מעניינך . אל תסתבך ראובן כך הסתבך הנשיא הנוכחי .,1,positive
" אחלה נשיא אחלה בית""רי שתהיה לכל הקבוצות בהצלחה ובמיוחד לבית""ר ירושלים ",0,negative
" מאוכזבת ממך מאוד ... : ( אנשים במשך כל הדורות נהרגו על קידוש ה' ובקלות כזאת אתה מצדד בדמוקרטיה לבחור ועוד מאחל להם בריאות , שמחה ונחת . כנראה שאתה לא מבין שהסיפור האישי שלהם , אינו סיפור בלבד , זה קרע בשרשרת הדורות של עם ישראל ולזה יש מחיר גבוה במיוחד . ",1,positive
שבת מבורכת אדוני הנשיא ואמן שישובו הבנים במהרה,0,negative
רק הקדוש ברוך הוא יכול לעזור ולא שום נשיא או ראש ממשלה שלא מכניס את השם בחיו,1,positive
" שיהיה להם מזל טוב , ואמן שכל מסית וגזעני יבין שמה שעושה לאחרים היום ייעשה בו מחר !! כי די נמאס כבר !! ",0,negative
בהצלחה !!!!,0,negative
אשת חייל מי ימצא משפחה כזאת ראויה לנשיאות,0,negative
לנשיא החדש בהצלחה אל תפקיד כנשיא המדינה,0,negative
חג שמח לנשיא הבא של מדינת ישראל : - ) : - ) : - ),0,negative
" מכתבך מרגש ביותר , אני מאחלת לכם הצלחה רבה ! גברת ראשונה של ישראל וכבוד הנשיא מדינת ישראל החדש ",0,negative
יהי זיכרו ברוך : - (,0,negative
שבת שלום לך אדוני הנשיא,0,negative
" מזל טוב ובהצלחה אדוני הנשיא - סוף סוף , עשה חיל . אוהבים ",0,negative
" אדוני הנשיא , טול קורה מבין עיניך תטיף נגד גזענות קודם כל אצלך בבית , בבית ״ ר ",1,positive
בהצלחה לכם הרי לבית הנשיא תניחו השניים ! 🍷,0,negative
" רובי , אתה יחיד ומיוחד . ",0,negative
מאחל לך המון המון הצלחה ובערת השם אתה הנשיא הבא של ישראל,0,negative
" מלח הארץ ! ברכות לבחירתך , איש יקר ! ",0,negative
שפו . אתה הנשיא,0,negative
יהי זיכרו ברוך,0,negative
" מאוכזבת ממך מאוד ... : ( אנשים במשך כל הדורות נהרגו על קידוש ה' ובקלות כזאת אתה מצדד בדמוקרטיה לבחור ועוד מאחל להם בריאות , שמחה ונחת . כנראה שאתה לא מבין שהסיפור האישי שלהם , אינו סיפור בלבד , זה קרע בשרשרת הדורות של עם ישראל ולזה יש מחיר גבוה במיוחד . ",1,positive
אדוני הנשיא . ומה עם משפט או שנים נגד נישואי תערובת ?,1,positive
" במידה ויתגלה הדבר כשהנשיא כבר מכהן , יהיו לכך השלכות מרחיקות לכת על פרצופה של המדינה בכלל ובית הנשיא בפרט . ",0,negative
איזה חוויה ואיזה ישראלי ???... בהזדמנות הראשונה הם שולחים אותנו לתאי גזים וחופרים לנו קבר אחים בדיוק כמו בשואה הכואבת .,1,positive
" שהקב ״ ה ישמור עלייך קרוב קרוב לידו , מלאך שלנו ",0,negative
" מרגש ואימתי . לא הבנתי מדוע קפצו על משרת נשיא טרמפיסטים רבים כאילו מחפשים סידור עבודה , כשעל הקיר מונחת דמותו של זה האיש המחכה ובצדק למינוי הראוי , אבל ברוך ה ׳ הצדק ניצח . רמי ",0,negative
קייטנה על חשבונינו אנחנו מתאמצים לשמור על מקום עבודה כדי לא להגיע ללשכה והשרים נהנים בחופשת הקייץ והכי מעצבן שגם הערבים נהנים על חשבונינו !!,1,positive
לעזאזל !!!! שיעשו כבר משהו בממשלה שלנו,1,positive
יישר כוח כולנו אחרייך,0,negative
לא ברור מה נסגר במדינה הזאת,1,positive
" אני איתך , אדם הוא אדם . מדינה סובלנית ורב גונית היא מדיה טובה יותר ומצליחה . אזרחי מדינת ישראל , הנשיא מבקש מכם בקשה פשוטה וברורה - מלאו אותה . לכבוד נשיא המדינה ",0,negative
על איזה כבוד אתה מדבר ? כבוד לאדם שרואה באישה חפץ או נכון יותר שפחה להכין עבורו את צרכיו . וגם אז להכות אותה ' כמו גבר' . כולנו שבעח סיפורים על בנות עמנו שלמרבה הבושה והצער חצו את הקווים וגילו את השוקת הדבורה היכן שציפו לקבל יחס אוהד וכבוד .,1,positive
העם דורש לבחור נשיא חדש אני קורא לכולם למחות נגד ריבלין בכיכר רבין ולהוריד אותו מהנשיאות המכוערת הזו.לא רוצים נשיא כזה עדיף שהכסף יילך לאלמנות ויתומים מאשר לתומך מושחת כזה שגורם לבזיון עם ישראל .,1,positive
נשיא מדינת ישראל תתבייש,1,positive
עונש מוות החוק הבא,1,positive
" צודק כב' הנשיא ואני מחזק ידיו - אלו בדיוק המילים של ההדר הבית""רי האצילי והאמיתי - אותו לצערי לא מכירים רוב הציבור כיום ",0,negative
בני שטן ... יהי זכרו ברוך .,1,positive
ב ה צ ל ח ה לנו ולך כבוד הנשיא רובי ריבלין,0,negative
" זה מה שעושות דתות מפרידות , מתנשאות , הרסניות ומפרנסות את מנגנוני ומוסדות הדת אם יש אלוהים הוא בטח משתעשע או עצוב אולי להתבונן באנשים שמנכסים את האמונה בו והבלעדיות עלייה לעצמם שהורגים ושונאים בשמו בושה וכלימה ",1,positive
" יהי זכרו ברוך , הילד נראה מלאך נשמה טהורה , ה ׳ ינקום דמו ",0,negative
רובי ריבלין הנשיא העשירי תחזית שניתנה לפני הבחירות https://www.youtube.com/watch?v=aMSsd653OZkר,2,
עצוב,0,negative
איש טוב וצנוע מקווה שיצליח,0,negative
" כבוד נשיא ה-10 של מדינת ישראל , עם ישראל אוהב אותך , אין כל ספק שתצליח מחר , אין ראוי ממך לתפקיד זה . ",0,negative
ברכות חמות לנשיא המדינה החדש .,0,negative
